,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
1,1,1,2,12,15,12.0,15.0
2,1,1,4,14,27,14.0,27.0
3,1,1,8,46,171,46.0,171.0
4,1,1,16,61,399,61.0,399.0
0,1,1,1,6,3,6.0,3.0
1,1,1,2,5,5,5.0,5.0
2,1,1,4,16,23,16.0,23.0
3,1,1,8,31,39,31.0,39.0
4,1,1,16,66,621,66.0,621.0
0,1,1,1,9,8,9.0,8.0
1,1,1,2,12,27,12.0,27.0
2,1,1,4,12,14,12.0,14.0
3,1,1,8,37,126,37.0,126.0
4,1,1,16,67,465,67.0,465.0
0,1,1,1,3,2,3.0,2.0
1,1,1,2,13,24,13.0,24.0
2,1,1,4,12,18,12.0,18.0
3,1,1,8,43,216,43.0,216.0
4,1,1,16,54,235,54.0,235.0
0,1,1,1,7,4,7.0,4.0
1,1,1,2,6,5,6.0,5.0
2,1,1,4,17,36,17.0,36.0
3,1,1,8,30,52,30.0,52.0
4,1,1,16,65,457,65.0,457.0
0,1,1,1,4,6,4.0,6.0
1,1,1,2,8,13,8.0,13.0
2,1,1,4,21,60,21.0,60.0
3,1,1,8,38,190,38.0,190.0
4,1,1,16,59,368,59.0,368.0
0,1,1,1,3,7,3.0,7.0
1,1,1,2,8,11,8.0,11.0
2,1,1,4,12,11,12.0,11.0
3,1,1,8,40,158,40.0,158.0
4,1,1,16,53,307,53.0,307.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,11,17,11.0,17.0
2,1,1,4,13,23,13.0,23.0
3,1,1,8,37,123,37.0,123.0
4,1,1,16,84,561,84.0,561.0
0,1,1,1,0,0,0.0,0.0
1,1,1,2,7,18,7.0,18.0
2,1,1,4,19,39,19.0,39.0
3,1,1,8,30,112,30.0,112.0
4,1,1,16,68,567,68.0,567.0
0,1,1,1,6,4,6.0,4.0
1,1,1,2,6,4,6.0,4.0
2,1,1,4,14,31,14.0,31.0
3,1,1,8,37,96,37.0,96.0
4,1,1,16,58,339,58.0,339.0
0,1,1,1,3,5,3.0,5.0
1,1,1,2,12,30,12.0,30.0
2,1,1,4,14,42,14.0,42.0
3,1,1,8,36,106,36.0,106.0
4,1,1,16,66,355,66.0,355.0
0,1,1,1,1,0,1.0,0.0
1,1,1,2,10,6,10.0,6.0
2,1,1,4,18,32,18.0,32.0
3,1,1,8,39,187,39.0,187.0
4,1,1,16,63,457,63.0,457.0
0,1,1,1,7,16,7.0,16.0
1,1,1,2,11,23,11.0,23.0
2,1,1,4,15,32,15.0,32.0
3,1,1,8,34,184,34.0,184.0
4,1,1,16,65,480,65.0,480.0
0,1,1,1,3,2,3.0,2.0
1,1,1,2,8,17,8.0,17.0
2,1,1,4,17,14,17.0,14.0
3,1,1,8,35,178,35.0,178.0
4,1,1,16,62,201,62.0,201.0
0,1,1,1,0,0,0.0,0.0
1,1,1,2,6,14,6.0,14.0
2,1,1,4,21,50,21.0,50.0
3,1,1,8,26,95,26.0,95.0
4,1,1,16,58,234,58.0,234.0
0,1,1,1,6,8,6.0,8.0
1,1,1,2,3,3,3.0,3.0
2,1,1,4,15,21,15.0,21.0
3,1,1,8,32,166,32.0,166.0
4,1,1,16,54,300,54.0,300.0
0,1,1,1,5,9,5.0,9.0
1,1,1,2,5,6,5.0,6.0
2,1,1,4,16,73,16.0,73.0
3,1,1,8,35,106,35.0,106.0
4,1,1,16,69,509,69.0,509.0
0,1,1,1,3,2,3.0,2.0
1,1,1,2,12,32,12.0,32.0
2,1,1,4,19,48,19.0,48.0
3,1,1,8,32,105,32.0,105.0
4,1,1,16,61,367,61.0,367.0
0,1,1,1,5,5,5.0,5.0
1,1,1,2,6,4,6.0,4.0
2,1,1,4,14,27,14.0,27.0
3,1,1,8,48,266,48.0,266.0
4,1,1,16,61,299,61.0,299.0
0,1,1,1,3,6,3.0,6.0
1,1,1,2,4,3,4.0,3.0
2,1,1,4,15,47,15.0,47.0
3,1,1,8,29,88,29.0,88.0
4,1,1,16,65,550,65.0,550.0
0,1,1,1,3,3,3.0,3.0
1,1,1,2,5,6,5.0,6.0
2,1,1,4,18,55,18.0,55.0
3,1,1,8,29,153,29.0,153.0
4,1,1,16,73,379,73.0,379.0
0,1,1,1,6,7,6.0,7.0
1,1,1,2,8,18,8.0,18.0
2,1,1,4,21,50,21.0,50.0
3,1,1,8,34,138,34.0,138.0
4,1,1,16,61,354,61.0,354.0
0,1,1,1,2,1,2.0,1.0
1,1,1,2,3,4,3.0,4.0
2,1,1,4,11,16,11.0,16.0
3,1,1,8,19,33,19.0,33.0
4,1,1,16,63,541,63.0,541.0
0,1,1,1,2,1,2.0,1.0
1,1,1,2,10,23,10.0,23.0
2,1,1,4,12,10,12.0,10.0
3,1,1,8,28,102,28.0,102.0
4,1,1,16,74,710,74.0,710.0
0,1,1,1,2,2,2.0,2.0
