,pop_size,pop_infected,n_days,location,variants,rand_seed,cum_infections,cum_deaths,cum_recoveries,avg_age,wild_beta,rel_beta,beta
630,10000,100,200,Brazil,gamma,444,8240.0,39.0,8201.0,35.166645,0.016,2.05,0.032799999999999996
631,10000,100,200,India,delta,847,8016.0,27.0,7989.0,31.416883,0.016,2.2,0.0352
632,10000,100,200,United Kingdom,alpha,576,8896.0,100.0,8796.0,41.897564,0.016,1.67,0.02672
633,10000,100,200,United Kingdom,beta,372,8495.0,103.0,8392.0,41.265514,0.016,1.0,0.016
634,10000,100,200,United Kingdom,alpha,972,8819.0,99.0,8720.0,40.9797,0.016,1.67,0.02672
635,10000,100,200,South Africa,beta,485,7736.0,26.0,7710.0,29.780413,0.016,1.0,0.016
636,10000,100,200,United Kingdom,alpha,860,8623.0,95.0,8528.0,41.757652,0.016,1.67,0.02672
637,10000,100,200,United Kingdom,alpha,427,8618.0,90.0,8528.0,41.27083,0.016,1.67,0.02672
638,10000,100,200,India,delta,658,8128.0,29.0,8099.0,31.28319,0.016,2.2,0.0352
639,10000,100,200,South Africa,alpha,747,7764.0,27.0,7737.0,29.414938,0.016,1.67,0.02672
640,10000,100,200,South Africa,beta,531,7784.0,26.0,7758.0,29.882425,0.016,1.0,0.016
641,10000,100,200,India,delta,983,7922.0,23.0,7899.0,30.958868,0.016,2.2,0.0352
642,10000,100,200,United Kingdom,alpha,702,8842.0,129.0,8713.0,41.491524,0.016,1.67,0.02672
643,10000,100,200,Brazil,gamma,724,9416.0,104.0,9312.0,35.25943,0.016,2.05,0.032799999999999996
644,10000,100,200,United Kingdom,beta,882,8715.0,93.0,8622.0,41.119064,0.016,1.0,0.016
645,10000,100,200,South Africa,beta,124,7947.0,25.0,7922.0,29.223347,0.016,1.0,0.016
646,10000,100,200,South Africa,beta,388,7891.0,22.0,7869.0,29.810644,0.016,1.0,0.016
647,10000,100,200,India,alpha,320,7953.0,24.0,7929.0,31.387613,0.016,1.67,0.02672
648,10000,100,200,Brazil,gamma,686,8302.0,42.0,8260.0,34.930805,0.016,2.05,0.032799999999999996
649,10000,100,200,Brazil,gamma,26,8710.0,38.0,8672.0,35.201473,0.016,2.05,0.032799999999999996
650,10000,100,200,South Africa,beta,664,7994.0,36.0,7958.0,29.627094,0.016,1.0,0.016
651,10000,100,200,India,delta,58,8069.0,23.0,8046.0,31.11491,0.016,2.2,0.0352
652,10000,100,200,Brazil,gamma,306,8756.0,55.0,8701.0,35.476517,0.016,2.05,0.032799999999999996
653,10000,100,200,India,delta,775,9207.0,47.0,9160.0,31.06504,0.016,2.2,0.0352
654,10000,100,200,Brazil,gamma,20,8309.0,41.0,8268.0,35.098305,0.016,2.05,0.032799999999999996
655,10000,100,200,India,delta,543,7910.0,28.0,7882.0,31.159353,0.016,2.2,0.0352
656,10000,100,200,Brazil,alpha,666,8286.0,39.0,8247.0,34.830425,0.016,1.67,0.02672
657,10000,100,200,Brazil,gamma,860,9120.0,82.0,9038.0,35.480537,0.016,2.05,0.032799999999999996
658,10000,100,200,South Africa,delta,494,7798.0,16.0,7782.0,29.425697,0.016,2.2,0.0352
659,10000,100,200,United Kingdom,alpha,180,8848.0,93.0,8755.0,41.289238,0.016,1.67,0.02672
660,10000,100,200,Brazil,delta,121,8453.0,45.0,8408.0,35.345295,0.016,2.2,0.0352
661,10000,100,200,United Kingdom,alpha,858,8816.0,87.0,8729.0,41.226963,0.016,1.67,0.02672
662,10000,100,200,India,delta,120,8180.0,26.0,8154.0,31.42957,0.016,2.2,0.0352
663,10000,100,200,Brazil,gamma,248,8246.0,34.0,8212.0,35.372536,0.016,2.05,0.032799999999999996
664,10000,100,200,India,delta,973,7912.0,32.0,7880.0,31.290155,0.016,2.2,0.0352
665,10000,100,200,Brazil,gamma,657,8179.0,40.0,8139.0,35.045746,0.016,2.05,0.032799999999999996
666,10000,100,200,South Africa,delta,303,8952.0,40.0,8912.0,29.698671,0.016,2.2,0.0352
667,10000,100,200,India,delta,657,7910.0,28.0,7882.0,31.02031,0.016,2.2,0.0352
668,10000,100,200,India,gamma,523,7854.0,24.0,7830.0,30.974428,0.016,2.05,0.032799999999999996
669,10000,100,200,United Kingdom,alpha,137,8640.0,96.0,8544.0,41.036655,0.016,1.67,0.02672
670,10000,100,200,India,delta,27,9087.0,56.0,9031.0,31.550869,0.016,2.2,0.0352
671,10000,100,200,United Kingdom,alpha,123,8847.0,100.0,8747.0,41.447395,0.016,1.67,0.02672
672,10000,100,200,India,delta,179,8372.0,34.0,8338.0,31.267597,0.016,2.2,0.0352
673,10000,100,200,Brazil,delta,29,9114.0,63.0,9051.0,35.21957,0.016,2.2,0.0352
674,10000,100,200,South Africa,beta,960,7798.0,26.0,7772.0,29.696106,0.016,1.0,0.016
675,10000,100,200,South Africa,alpha,274,8106.0,18.0,8088.0,29.403343,0.016,1.67,0.02672
676,10000,100,200,United Kingdom,alpha,197,8486.0,91.0,8395.0,41.23606,0.016,1.67,0.02672
677,10000,100,200,India,delta,451,7827.0,25.0,7802.0,30.89711,0.016,2.2,0.0352
678,10000,100,200,Brazil,gamma,318,9258.0,70.0,9188.0,35.237003,0.016,2.05,0.032799999999999996
679,10000,100,200,India,alpha,133,7912.0,36.0,7876.0,30.999287,0.016,1.67,0.02672
680,10000,100,200,Brazil,gamma,856,8263.0,34.0,8229.0,35.393745,0.016,2.05,0.032799999999999996
681,10000,100,200,South Africa,beta,274,7921.0,18.0,7903.0,29.403343,0.016,1.0,0.016
682,10000,100,200,Brazil,gamma,44,8422.0,50.0,8372.0,35.045715,0.016,2.05,0.032799999999999996
683,10000,100,200,South Africa,beta,627,7804.0,27.0,7777.0,29.781462,0.016,1.0,0.016
684,10000,100,200,India,delta,248,7891.0,35.0,7856.0,31.334156,0.016,2.2,0.0352
685,10000,100,200,India,delta,70,8547.0,32.0,8515.0,31.154076,0.016,2.2,0.0352
686,10000,100,200,Brazil,gamma,264,9466.0,66.0,9400.0,35.21366,0.016,2.05,0.032799999999999996
687,10000,100,200,India,delta,391,8840.0,44.0,8796.0,31.046377,0.016,2.2,0.0352
688,10000,100,200,Brazil,alpha,849,8165.0,39.0,8126.0,35.353428,0.016,1.67,0.02672
689,10000,100,200,South Africa,gamma,611,8703.0,34.0,8669.0,29.771353,0.016,2.05,0.032799999999999996
690,10000,100,200,South Africa,beta,301,7834.0,23.0,7811.0,30.258472,0.016,1.0,0.016
691,10000,100,200,Brazil,gamma,37,8366.0,35.0,8331.0,34.87041,0.016,2.05,0.032799999999999996
692,10000,100,200,South Africa,gamma,887,8482.0,19.0,8463.0,29.722725,0.016,2.05,0.032799999999999996
693,10000,100,200,Brazil,gamma,681,9177.0,59.0,9118.0,35.142414,0.016,2.05,0.032799999999999996
694,10000,100,200,India,delta,318,9355.0,55.0,9300.0,31.17277,0.016,2.2,0.0352
695,10000,100,200,India,delta,934,9139.0,45.0,9094.0,30.912397,0.016,2.2,0.0352
696,10000,100,200,South Africa,beta,42,7803.0,25.0,7778.0,30.11711,0.016,1.0,0.016
697,10000,100,200,India,delta,65,9369.0,66.0,9303.0,31.330782,0.016,2.2,0.0352
698,10000,100,200,India,delta,144,9241.0,47.0,9194.0,31.032343,0.016,2.2,0.0352
699,10000,100,200,Brazil,gamma,290,8213.0,33.0,8180.0,35.024555,0.016,2.05,0.032799999999999996
700,10000,100,200,India,gamma,355,8022.0,35.0,7987.0,31.433918,0.016,2.05,0.032799999999999996
701,10000,100,200,United Kingdom,alpha,231,8643.0,102.0,8541.0,41.016346,0.016,1.67,0.02672
702,10000,100,200,United Kingdom,alpha,439,8533.0,86.0,8447.0,41.270416,0.016,1.67,0.02672
703,10000,100,200,Brazil,gamma,998,9143.0,52.0,9091.0,34.85472,0.016,2.05,0.032799999999999996
704,10000,100,200,South Africa,beta,158,8083.0,13.0,8070.0,30.005615,0.016,1.0,0.016
705,10000,100,200,United Kingdom,alpha,115,8589.0,109.0,8480.0,41.35555,0.016,1.67,0.02672
706,10000,100,200,Brazil,gamma,584,8167.0,36.0,8131.0,35.2143,0.016,2.05,0.032799999999999996
707,10000,100,200,United Kingdom,beta,490,8547.0,96.0,8451.0,41.49512,0.016,1.0,0.016
708,10000,100,200,South Africa,beta,41,7661.0,19.0,7642.0,29.415518,0.016,1.0,0.016
709,10000,100,200,United Kingdom,alpha,953,8583.0,120.0,8463.0,41.6153,0.016,1.67,0.02672
710,10000,100,200,Brazil,gamma,166,8651.0,43.0,8608.0,34.96139,0.016,2.05,0.032799999999999996
711,10000,100,200,United Kingdom,alpha,853,8486.0,91.0,8395.0,41.310093,0.016,1.67,0.02672
712,10000,100,200,United Kingdom,alpha,894,8536.0,74.0,8462.0,41.356564,0.016,1.67,0.02672
713,10000,100,200,India,alpha,69,7941.0,19.0,7922.0,31.111147,0.016,1.67,0.02672
714,10000,100,200,Brazil,gamma,642,8284.0,37.0,8247.0,35.05095,0.016,2.05,0.032799999999999996
715,10000,100,200,South Africa,beta,477,7951.0,24.0,7927.0,29.928448,0.016,1.0,0.016
716,10000,100,200,United Kingdom,alpha,587,8893.0,103.0,8790.0,41.37788,0.016,1.67,0.02672
717,10000,100,200,India,delta,928,7873.0,18.0,7855.0,31.165684,0.016,2.2,0.0352
718,10000,100,200,South Africa,delta,331,8630.0,23.0,8607.0,29.412775,0.016,2.2,0.0352
719,10000,100,200,India,delta,789,9034.0,39.0,8995.0,31.130066,0.016,2.2,0.0352
720,10000,100,200,Brazil,gamma,81,8248.0,27.0,8221.0,34.613205,0.016,2.05,0.032799999999999996
