,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1320,51633,20,hybrid,1000,216,Oman,gamma,1014246.5788926324,1260.0,1013035.5143626832,747,30.057352,0.016,2.0,0.032,1.0,7.017
1321,51633,20,hybrid,1000,216,Oman,alpha,1003664.2674437956,1720.0,1002178.4509743784,136,29.994162,0.016,1.67,0.02672,1.0,7.017
1322,51633,20,hybrid,1000,216,Gambia,alpha,979030.0754459096,1196.8345649915277,977867.8713969454,123,22.208986,0.016,1.67,0.02672,1.0,7.228999999999999
1323,51633,20,hybrid,1000,216,Oman,gamma,1014401.0339371328,1520.0,1013054.0204418874,503,29.98889,0.016,2.0,0.032,1.0,7.017
1324,51633,20,hybrid,1000,216,Mozambique,beta,791297.2388381474,1140.0,790515.610430951,804,22.488369,0.016,1.0,0.016,1.0,3.366
1325,51633,20,hybrid,1000,216,Bangladesh,delta,994289.3551935868,2980.0,991073.9982485756,981,30.270031,0.016,2.2,0.0352,1.0,3.4690000000000003
1326,51633,20,hybrid,1000,216,Bangladesh,delta,993635.5092656096,2587.1626545200247,990895.6517799882,550,30.20375,0.016,2.2,0.0352,1.0,3.4690000000000003
1327,51633,20,hybrid,1000,216,Mozambique,beta,788906.0478471838,1128.916100448256,787873.2430438572,736,22.1873,0.016,1.0,0.016,1.0,3.366
1328,51633,20,hybrid,1000,216,Mozambique,beta,779614.0242779927,900.0,778422.9501356531,613,22.18588,0.016,1.0,0.016,1.0,3.366
1329,51633,20,hybrid,1000,216,Bangladesh,gamma,986141.2877715966,2440.0,983819.0566074804,164,30.183092,0.016,2.0,0.032,1.0,3.4690000000000003
1330,51633,20,hybrid,1000,216,Gambia,alpha,979181.2837880864,1200.0,978216.1347693912,240,22.09863,0.016,1.67,0.02672,1.0,7.228999999999999
1331,51633,20,hybrid,1000,216,Mozambique,beta,784633.6941946417,880.0,783989.5206404112,578,22.296724,0.016,1.0,0.016,1.0,3.366
1332,51633,20,hybrid,1000,216,Mozambique,beta,782822.7906150005,620.0,782142.4701999854,254,22.348007,0.016,1.0,0.016,1.0,3.366
1333,51633,20,hybrid,1000,216,Bangladesh,delta,993796.2573756132,2660.0,991188.8559941668,591,30.262228,0.016,2.2,0.0352,1.0,3.4690000000000003
