,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
4470,4470,51633,20,hybrid,1000,216,Mozambique,beta,778530.6122729925,1246.1917364224,777447.2939080655,113,22.150047,0.016,1.0,0.016,1.0,3.366
4471,4471,51633,20,hybrid,1000,216,Mozambique,alpha,918960.0222671224,1000.0,918201.2135061326,411,22.349104,0.016,1.67,0.02672,1.0,3.366
4472,4472,51633,20,hybrid,1000,216,Mozambique,beta,786678.7622303907,1165.159780352,785704.4545447899,782,22.310944,0.016,1.0,0.016,1.0,3.366
4473,4473,51633,20,hybrid,1000,216,Mozambique,alpha,917605.3811803554,1300.0,916169.541378496,808,22.261833,0.016,1.67,0.02672,1.0,3.366
4474,4474,51633,20,hybrid,1000,216,Mozambique,beta,784561.3466735118,1120.0,783589.1967352731,371,22.349592,0.016,1.0,0.016,1.0,3.366
4476,4476,51633,20,hybrid,1000,216,Gambia,gamma,995424.1783897053,780.0,994478.5818464732,659,22.06537,0.016,2.0,0.032,1.0,7.228999999999999
4477,4477,51633,20,hybrid,1000,216,Mozambique,beta,774395.7889506179,1136.8358467794108,772861.839339562,290,22.341255,0.016,1.0,0.016,1.0,3.366
4478,4478,51633,20,hybrid,1000,216,Gambia,alpha,981519.3065047852,1080.0,980485.810022759,893,22.185429,0.016,1.67,0.02672,1.0,7.228999999999999
4479,4479,51633,20,hybrid,1000,216,Mozambique,beta,785923.1186468294,1000.0,785054.8896951184,314,22.254297,0.016,1.0,0.016,1.0,3.366
4480,4480,51633,20,hybrid,1000,216,Gambia,beta,900401.1853290139,1180.0,899145.2093233999,995,22.30477,0.016,1.0,0.016,1.0,7.228999999999999
4481,4481,51633,20,hybrid,1000,216,Mozambique,beta,774040.1920911686,1240.0,773088.5496451894,400,22.243935,0.016,1.0,0.016,1.0,3.366
4483,4483,51633,20,hybrid,1000,216,Mozambique,gamma,945892.0286505742,1200.0,944811.625019534,713,22.194706,0.016,2.0,0.032,1.0,3.366
4486,4486,51633,20,hybrid,1000,216,Mozambique,beta,778530.6122729925,1246.1917364224,777447.2939080655,113,22.150047,0.016,1.0,0.016,1.0,3.366
4487,4487,51633,20,hybrid,1000,216,Mozambique,beta,792137.1685014253,866.1917364224,791183.8683733147,734,22.338974,0.016,1.0,0.016,1.0,3.366
4488,4488,51633,20,hybrid,1000,216,Gambia,alpha,978342.843696096,1100.0,976906.1784589804,93,22.154112,0.016,1.67,0.02672,1.0,7.228999999999999
4490,4490,51633,20,hybrid,1000,216,Gambia,alpha,979802.4861349496,840.0,978810.9125852438,720,22.134089,0.016,1.67,0.02672,1.0,7.228999999999999
4491,4491,51633,20,hybrid,1000,216,Mozambique,beta,775542.8541273619,860.0,774800.3119616896,351,22.263605,0.016,1.0,0.016,1.0,3.366
4495,4495,51633,20,hybrid,1000,216,Mozambique,beta,784789.4559367587,1160.0,783356.9017187096,89,22.350548,0.016,1.0,0.016,1.0,3.366
4496,4496,51633,20,hybrid,1000,216,Gambia,alpha,984848.706244426,1020.0,983940.5040782812,689,22.156286,0.016,1.67,0.02672,1.0,7.228999999999999
4497,4497,51633,20,hybrid,1000,216,Mozambique,beta,785860.0148984973,1120.0,784894.7565463133,197,22.180662,0.016,1.0,0.016,1.0,3.366
4498,4498,51633,20,hybrid,1000,216,Gambia,alpha,981193.8092662948,960.0,980455.3426717488,738,22.156267,0.016,1.67,0.02672,1.0,7.228999999999999
4499,4499,51633,20,hybrid,1000,216,Mozambique,beta,788200.5255754553,1243.5831808,787612.4258236387,753,22.259893,0.016,1.0,0.016,1.0,3.366
4505,4505,51633,20,hybrid,1000,216,Gambia,alpha,981859.4903848897,1080.0,980779.3081788132,899,22.184156,0.016,1.67,0.02672,1.0,7.228999999999999
4508,4508,51633,20,hybrid,1000,216,Mozambique,beta,784277.6098042086,967.43008370688,783359.4276127182,791,22.321941,0.016,1.0,0.016,1.0,3.366
