,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1432,2909,2909,51633,20,hybrid,1000,216,Mozambique,beta,774851.1121643905,966.1917364224,773871.6443457332,684,22.198315,0.016,1.0,0.016,1.0,3.366
1433,2911,2911,51633,20,hybrid,1000,216,Mozambique,alpha,920672.1060164552,1280.0,919146.1484372264,642,22.27922,0.016,1.67,0.02672,1.0,3.366
1434,2912,2912,51633,20,hybrid,1000,216,Mozambique,beta,778468.604123393,1206.1917364224,777274.1420651599,873,22.110828,0.016,1.0,0.016,1.0,3.366
1437,2916,2916,51633,20,hybrid,1000,216,Mozambique,beta,784388.6032325902,962.48832,783089.0609221178,494,22.342157,0.016,1.0,0.016,1.0,3.366
1438,2918,2918,51633,20,hybrid,1000,216,Mozambique,beta,781505.8425127387,989.50368370688,780756.9241410022,930,22.279263,0.016,1.0,0.016,1.0,3.366
1439,2919,2919,51633,20,hybrid,1000,216,Mozambique,beta,781889.3353469244,986.1917364224,780866.1615339678,106,22.229815,0.016,1.0,0.016,1.0,3.366
1440,2920,2920,51633,20,hybrid,1000,216,Mozambique,beta,774127.0288120172,1140.0,773435.8809548585,272,22.321362,0.016,1.0,0.016,1.0,3.366
1441,2921,2921,51633,20,hybrid,1000,216,Mozambique,beta,775714.0716196133,940.0,774870.390780859,50,22.20794,0.016,1.0,0.016,1.0,3.366
1444,2927,2927,51633,20,hybrid,1000,216,Mozambique,alpha,920539.287875567,1040.0,919753.5396496652,393,22.099257,0.016,1.67,0.02672,1.0,3.366
1446,2930,2930,51633,20,hybrid,1000,216,Mozambique,beta,782588.7730827988,1072.58986405888,782103.0235884301,722,22.227232,0.016,1.0,0.016,1.0,3.366
1447,2931,2931,51633,20,hybrid,1000,216,Mozambique,beta,786072.3455406731,978.1294042447872,784948.9821157702,355,22.200619,0.016,1.0,0.016,1.0,3.366
1448,2932,2932,51633,20,hybrid,1000,216,Mozambique,beta,781116.0183455658,980.0,780334.7951144574,421,22.21017,0.016,1.0,0.016,1.0,3.366
1449,2935,2935,51633,20,hybrid,1000,216,Mozambique,gamma,948607.776353962,1480.0,947085.0096995084,427,22.309177,0.016,2.0,0.032,1.0,3.366
1450,2936,2936,51633,20,hybrid,1000,216,Mozambique,beta,785406.5376328108,1000.0,784521.7279306331,776,22.336124,0.016,1.0,0.016,1.0,3.366
1454,2942,2942,51633,20,hybrid,1000,216,Mozambique,beta,784242.4393712752,1100.0,782971.2950916357,75,22.373528,0.016,1.0,0.016,1.0,3.366
1459,2963,2963,51633,20,hybrid,1000,216,Mozambique,beta,783106.184631368,1020.0,782311.0657059653,775,22.338812,0.016,1.0,0.016,1.0,3.366
1461,2967,2967,51633,20,hybrid,1000,216,Mozambique,alpha,922319.1926473312,1040.0,921075.15500259,3,22.425438,0.016,1.67,0.02672,1.0,3.366
1463,2970,2970,51633,20,hybrid,1000,216,Mozambique,alpha,916073.1884576688,1138.586314231798,915191.3661613502,997,22.131557,0.016,1.67,0.02672,1.0,3.366
1466,2982,2982,51633,20,hybrid,1000,216,Mozambique,beta,788906.0478471838,1128.916100448256,787873.2430438572,736,22.1873,0.016,1.0,0.016,1.0,3.366
1480,3005,3005,51633,20,hybrid,1000,216,Mozambique,beta,784179.3830780702,1140.0,782585.6884379748,502,22.303242,0.016,1.0,0.016,1.0,3.366
1484,3016,3016,51633,20,hybrid,1000,216,Mozambique,delta,961501.3128908756,1320.0,960081.887271416,496,22.3666,0.016,2.2,0.0352,1.0,3.366
