,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
565,1119,1119,51633,20,hybrid,1000,216,Gambia,gamma,997654.0971098096,980.0,996616.745313976,525,22.134611,0.016,2.0,0.032,1.0,7.228999999999999
566,1123,1123,51633,20,hybrid,1000,216,Gambia,alpha,981466.1102485844,920.0,980688.0857863416,13,22.222324,0.016,1.67,0.02672,1.0,7.228999999999999
567,1127,1127,51633,20,hybrid,1000,216,Gambia,alpha,981541.8324421752,1140.0,980457.8737062016,186,22.17528,0.016,1.67,0.02672,1.0,7.228999999999999
568,1128,1128,51633,20,hybrid,1000,216,Gambia,alpha,981533.4909058618,960.0,980612.9023508396,370,22.131376,0.016,1.67,0.02672,1.0,7.228999999999999
569,1131,1131,51633,20,hybrid,1000,216,Gambia,alpha,980520.3988171846,1000.0,979604.5636291704,278,22.227116,0.016,1.67,0.02672,1.0,7.228999999999999
570,1134,1134,51633,20,hybrid,1000,216,Gambia,alpha,980018.3004636888,1040.0,978950.6067871068,44,22.16262,0.016,1.67,0.02672,1.0,7.228999999999999
571,1137,1137,51633,20,hybrid,1000,216,Gambia,alpha,981083.9422558995,1060.0,979872.9824988733,526,22.203175,0.016,1.67,0.02672,1.0,7.228999999999999
573,1142,1142,51633,20,hybrid,1000,216,Gambia,gamma,995563.7085725814,1160.0,994488.7518829677,477,22.077564,0.016,2.0,0.032,1.0,7.228999999999999
575,1145,1145,51633,20,hybrid,1000,216,Gambia,delta,1002668.6221914224,920.0,1001744.8590212844,540,22.199444,0.016,2.2,0.0352,1.0,7.228999999999999
577,1147,1147,51633,20,hybrid,1000,216,Gambia,alpha,982775.6181316396,1100.0,981630.9378273222,175,22.22718,0.016,1.67,0.02672,1.0,7.228999999999999
578,1148,1148,51633,20,hybrid,1000,216,Gambia,alpha,982983.0722139466,1180.0,981901.0337010556,612,22.248465,0.016,1.67,0.02672,1.0,7.228999999999999
582,1154,1154,51633,20,hybrid,1000,216,Gambia,gamma,997041.8281391246,1120.0,996019.4571488173,916,22.10035,0.016,2.0,0.032,1.0,7.228999999999999
584,1158,1158,51633,20,hybrid,1000,216,Gambia,gamma,995247.2110301025,1220.0,994199.8797790998,936,22.147348,0.016,2.0,0.032,1.0,7.228999999999999
585,1159,1159,51633,20,hybrid,1000,216,Gambia,alpha,982531.9783486666,880.0,981770.8272897868,938,22.187237,0.016,1.67,0.02672,1.0,7.228999999999999
586,1160,1160,51633,20,hybrid,1000,216,Gambia,alpha,981203.0087080495,960.0,980321.4402753956,827,22.181479,0.016,1.67,0.02672,1.0,7.228999999999999
589,1163,1163,51633,20,hybrid,1000,216,Gambia,alpha,980309.4242026308,920.0,979116.2987217152,897,22.254679,0.016,1.67,0.02672,1.0,7.228999999999999
592,1169,1169,51633,20,hybrid,1000,216,Gambia,alpha,983311.6738226468,920.0,982622.5540236554,72,22.27901,0.016,1.67,0.02672,1.0,7.228999999999999
593,1170,1170,51633,20,hybrid,1000,216,Gambia,gamma,997991.8441307794,980.0,996977.0778227452,608,22.272087,0.016,2.0,0.032,1.0,7.228999999999999
594,1172,1172,51633,20,hybrid,1000,216,Gambia,delta,1003833.4261005962,1200.0,1002486.6675430194,233,22.26268,0.016,2.2,0.0352,1.0,7.228999999999999
