,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
5069,5069,51633,20,hybrid,1000,216,Oman,beta,956133.3318488578,1269.4276230158212,954956.192314395,520,30.036352,0.016,1.0,0.016,1.0,7.017
5070,5070,51633,20,hybrid,1000,216,Oman,alpha,1006981.83233791,1660.0,1005315.157417548,22,30.054497,0.016,1.67,0.02672,1.0,7.017
5074,5074,51633,20,hybrid,1000,216,Bangladesh,delta,993283.3959794044,3140.0,990033.4166119734,426,30.184925,0.016,2.2,0.0352,1.0,3.4690000000000003
5077,5077,51633,20,hybrid,1000,216,Oman,gamma,1015149.3435646096,1620.0,1013441.0308871792,574,30.181648,0.016,2.0,0.032,1.0,7.017
5081,5081,51633,20,hybrid,1000,216,Bangladesh,delta,993998.6216875956,2880.0,991026.0455492483,553,30.25616,0.016,2.2,0.0352,1.0,3.4690000000000003
5084,5084,51633,20,hybrid,1000,216,Bangladesh,delta,994905.9929114796,2731.9361257803216,992011.9861394672,493,30.214207,0.016,2.2,0.0352,1.0,3.4690000000000003
5085,5085,51633,20,hybrid,1000,216,Oman,alpha,1005919.8270770384,1440.0,1004384.5598887954,166,30.075054,0.016,1.67,0.02672,1.0,7.017
5088,5088,51633,20,hybrid,1000,216,Bangladesh,delta,991436.3516126832,2720.0,988613.5772562684,642,30.141848,0.016,2.2,0.0352,1.0,3.4690000000000003
5091,5091,51633,20,hybrid,1000,216,Oman,gamma,1014649.3606589348,1380.0,1013243.1544717184,694,30.005245,0.016,2.0,0.032,1.0,7.017
5092,5092,51633,20,hybrid,1000,216,Oman,gamma,1014251.384418286,1580.0,1012600.906157314,875,30.131207,0.016,2.0,0.032,1.0,7.017
5093,5093,51633,20,hybrid,1000,216,Bangladesh,delta,991242.5302162912,2880.0,988145.7802752826,491,30.04122,0.016,2.2,0.0352,1.0,3.4690000000000003
5095,5095,51633,20,hybrid,1000,216,Bangladesh,alpha,967832.1393629236,2800.0,965076.2997825647,915,30.173496,0.016,1.67,0.02672,1.0,3.4690000000000003
5097,5097,51633,20,hybrid,1000,216,Bangladesh,alpha,967570.7179333292,2628.531759224864,964899.5063771728,200,30.1833,0.016,1.67,0.02672,1.0,3.4690000000000003
5098,5098,51633,20,hybrid,1000,216,Oman,gamma,1014851.025796236,1280.0,1013753.7820172412,16,30.047398,0.016,2.0,0.032,1.0,7.017
5099,5099,51633,20,hybrid,1000,216,Bangladesh,beta,872083.0504027912,2129.4829023748425,870081.8158076433,150,30.210014,0.016,1.0,0.016,1.0,3.4690000000000003
5100,5100,51633,20,hybrid,1000,216,Bangladesh,delta,991686.5053689115,2920.0,988815.8930557694,838,30.146292,0.016,2.2,0.0352,1.0,3.4690000000000003
5101,5101,51633,20,hybrid,1000,216,Oman,delta,1017828.9340135593,1200.0,1016558.0312025292,605,29.852274,0.016,2.2,0.0352,1.0,7.017
5104,5104,51633,20,hybrid,1000,216,Bangladesh,delta,993330.7536502857,2640.0,990726.0507330378,441,30.299492,0.016,2.2,0.0352,1.0,3.4690000000000003
5105,5105,51633,20,hybrid,1000,216,Oman,gamma,1013996.7980303472,1320.0,1012628.539642503,123,29.958582,0.016,2.0,0.032,1.0,7.017
5106,5106,51633,20,hybrid,1000,216,Bangladesh,delta,991845.82290035,2600.0,989236.2687840512,776,30.208174,0.016,2.2,0.0352,1.0,3.4690000000000003
5108,5108,51633,20,hybrid,1000,216,Bangladesh,delta,990935.5099424124,2620.0,988257.004763271,479,30.052555,0.016,2.2,0.0352,1.0,3.4690000000000003
