,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
257,257,51633,20,hybrid,1000,216,Bangladesh,delta,993349.7282205288,2940.0,990399.1041676434,445,30.205969,0.016,2.2,0.0352,1.0,3.4690000000000003
258,258,51633,20,hybrid,1000,216,Bangladesh,delta,992350.0008343124,2420.0,990070.0194387716,966,30.09639,0.016,2.2,0.0352,1.0,3.4690000000000003
263,263,51633,20,hybrid,1000,216,Oman,alpha,1005518.1885141372,1380.0,1004147.5059238556,475,29.928904,0.016,1.67,0.02672,1.0,7.017
264,264,51633,20,hybrid,1000,216,Oman,gamma,1015250.5752916392,1380.0,1014021.4753495074,627,29.957525,0.016,2.05,0.0327999999999999,1.0,7.017
265,265,51633,20,hybrid,1000,216,Bangladesh,gamma,986607.2139321496,2740.0,983860.5754711296,529,30.11654,0.016,2.05,0.0327999999999999,1.0,3.4690000000000003
267,267,51633,20,hybrid,1000,216,Oman,gamma,1015507.0013964844,1790.0495199633192,1013850.8901024592,985,29.929508,0.016,2.05,0.0327999999999999,1.0,7.017
269,269,51633,20,hybrid,1000,216,Oman,delta,1017402.1627241476,1460.0,1016086.7120476124,343,29.919144,0.016,2.2,0.0352,1.0,7.017
271,271,51633,20,hybrid,1000,216,Bangladesh,delta,992622.3754263208,2660.0,989921.0127071209,232,29.974766,0.016,2.2,0.0352,1.0,3.4690000000000003
272,272,51633,20,hybrid,1000,216,Oman,gamma,1013871.8741923836,1420.0,1012761.526217634,358,29.908482,0.016,2.05,0.0327999999999999,1.0,7.017
273,273,51633,20,hybrid,1000,216,Bangladesh,delta,992112.1530608452,2340.0,989754.2379560188,240,30.072721,0.016,2.2,0.0352,1.0,3.4690000000000003
276,276,51633,20,hybrid,1000,216,Bangladesh,beta,867706.2398711932,2780.0,864983.9866966872,809,30.184792,0.016,1.0,0.016,1.0,3.4690000000000003
279,279,51633,20,hybrid,1000,216,Oman,gamma,1015795.6687970312,1520.0,1014300.8933999898,327,29.916779,0.016,2.05,0.0327999999999999,1.0,7.017
280,280,51633,20,hybrid,1000,216,Bangladesh,delta,993616.0353311088,2700.0,990930.9062771098,413,30.109354,0.016,2.2,0.0352,1.0,3.4690000000000003
281,281,51633,20,hybrid,1000,216,Oman,gamma,1014276.6377722136,1500.0,1012834.193868457,666,29.94029,0.016,2.05,0.0327999999999999,1.0,7.017
286,286,51633,20,hybrid,1000,216,Bangladesh,delta,992402.1850812484,2660.0,989846.7520397912,451,29.984861,0.016,2.2,0.0352,1.0,3.4690000000000003
287,287,51633,20,hybrid,1000,216,Oman,gamma,1014931.4802978644,1800.0,1013043.2824300212,651,29.95802,0.016,2.05,0.0327999999999999,1.0,7.017
288,288,51633,20,hybrid,1000,216,Oman,gamma,1015017.876106936,1500.0,1013397.6213523482,674,29.962383,0.016,2.05,0.0327999999999999,1.0,7.017
291,291,51633,20,hybrid,1000,216,Oman,delta,1017083.3205706568,1820.0,1015436.0277057282,665,29.941023,0.016,2.2,0.0352,1.0,7.017
294,294,51633,20,hybrid,1000,216,Oman,beta,960412.490552077,1640.0,958542.9905149052,857,29.95357,0.016,1.0,0.016,1.0,7.017
295,295,51633,20,hybrid,1000,216,Oman,gamma,1014620.9565050376,1420.0,1013285.428732976,709,29.998146,0.016,2.05,0.0327999999999999,1.0,7.017
296,296,51633,20,hybrid,1000,216,Bangladesh,beta,877114.795933532,2165.159780352,874867.7215487543,145,30.131292,0.016,1.0,0.016,1.0,3.4690000000000003
298,298,51633,20,hybrid,1000,216,Oman,gamma,1014868.7945743318,1320.0,1013576.161036929,110,29.843584,0.016,2.05,0.0327999999999999,1.0,7.017
300,300,51633,20,hybrid,1000,216,Bangladesh,delta,992732.9912078192,2880.0,989820.553262912,960,30.202448,0.016,2.2,0.0352,1.0,3.4690000000000003
301,301,51633,20,hybrid,1000,216,Bangladesh,delta,995196.3261014256,2778.5027997712787,992226.4542066924,860,29.976967,0.016,2.2,0.0352,1.0,3.4690000000000003
302,302,51633,20,hybrid,1000,216,Oman,gamma,1014244.3685137436,1600.0,1012573.3864915147,9,30.000998,0.016,2.05,0.0327999999999999,1.0,7.017
