,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
665,51633,20,hybrid,1000,216,Oman,gamma,1015359.3802958489,1120.0,1014336.5924309614,278,29.99487,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
666,51633,20,hybrid,1000,216,Oman,gamma,1015668.775166446,1500.0,1014295.8626345252,587,29.896935,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
667,51633,20,hybrid,1000,216,Oman,gamma,1014024.6836728476,1520.0,1012573.0846932005,356,29.914255,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
668,51633,20,hybrid,1000,216,Bangladesh,delta,993761.7710757785,2920.0,990607.8198059312,589,30.098051,0.016,2.2,0.0352,1.0,3.4690000000000003
669,51633,20,hybrid,1000,216,Mozambique,beta,782126.883628192,940.0,780913.7844977141,987,22.298172,0.016,1.0,0.016,1.0,3.3659999999999997
670,51633,20,hybrid,1000,216,Mozambique,beta,780855.5395698508,976.8910569603072,779944.9365320472,261,22.278545,0.016,1.0,0.016,1.0,3.3659999999999997
671,51633,20,hybrid,1000,216,Mozambique,beta,776438.5705262291,940.0,775330.2060167593,248,22.250704,0.016,1.0,0.016,1.0,3.3659999999999997
672,51633,20,hybrid,1000,216,Oman,alpha,1005518.1885141372,1380.0,1004147.5059238556,475,29.928904,0.016,1.67,0.02672,1.0,7.0169999999999995
673,51633,20,hybrid,1000,216,Bangladesh,delta,993041.1329330744,2660.0,990314.3818262813,846,30.094358,0.016,2.2,0.0352,1.0,3.4690000000000003
674,51633,20,hybrid,1000,216,Gambia,alpha,980286.0020429768,1080.0,979186.7173023808,477,22.077564,0.016,1.67,0.02672,1.0,7.228999999999999
675,51633,20,hybrid,1000,216,Bangladesh,gamma,987920.1266111339,2840.0,985011.0234328235,185,30.209658,0.016,2.05,0.032799999999999996,1.0,3.4690000000000003
676,51633,20,hybrid,1000,216,Oman,gamma,1015976.076914966,1440.0,1014806.2561348538,677,29.99411,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
677,51633,20,hybrid,1000,216,Gambia,alpha,979532.6598943395,920.0,978644.3933527194,890,22.235321,0.016,1.67,0.02672,1.0,7.228999999999999
678,51633,20,hybrid,1000,216,Bangladesh,delta,994115.2341313751,2460.0,991468.7043011591,772,30.194466,0.016,2.2,0.0352,1.0,3.4690000000000003
679,51633,20,hybrid,1000,216,Bangladesh,delta,991097.7760890259,3020.0,988010.0350420112,572,30.062172,0.016,2.2,0.0352,1.0,3.4690000000000003
680,51633,20,hybrid,1000,216,Bangladesh,delta,989681.8723560078,2720.0,986921.3259076531,121,30.10914,0.016,2.2,0.0352,1.0,3.4690000000000003
681,51633,20,hybrid,1000,216,Bangladesh,delta,993999.1872974007,2680.0,991432.0635399683,855,30.084354,0.016,2.2,0.0352,1.0,3.4690000000000003
682,51633,20,hybrid,1000,216,Bangladesh,delta,991657.3000265087,2900.0,988818.0193736919,856,30.087652,0.016,2.2,0.0352,1.0,3.4690000000000003
683,51633,20,hybrid,1000,216,Gambia,beta,898058.8970503468,980.0,896794.4501140103,631,22.119183,0.016,1.0,0.016,1.0,7.228999999999999
684,51633,20,hybrid,1000,216,Oman,gamma,1015264.4595641055,1440.0,1013964.5723412856,336,30.06904,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
685,51633,20,hybrid,1000,216,Oman,beta,958114.2892479231,1340.0,956757.1102509703,672,29.985983,0.016,1.0,0.016,1.0,7.0169999999999995
686,51633,20,hybrid,1000,216,Gambia,beta,898305.5569016945,1120.0,897059.4567099761,582,22.27237,0.016,1.0,0.016,1.0,7.228999999999999
687,51633,20,hybrid,1000,216,Gambia,delta,1003009.0988300839,1160.0,1001947.2465836257,176,22.21526,0.016,2.2,0.0352,1.0,7.228999999999999
688,51633,20,hybrid,1000,216,Oman,delta,1016768.1067976272,1220.0,1015511.2954292778,912,29.870647,0.016,2.2,0.0352,1.0,7.0169999999999995
689,51633,20,hybrid,1000,216,Bangladesh,delta,992404.5974908944,2960.0000000000005,989482.0855968475,968,30.2392,0.016,2.2,0.0352,1.0,3.4690000000000003
690,51633,20,hybrid,1000,216,Oman,gamma,1015359.5643170881,1400.0,1013967.0647515855,5,30.10023,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
691,51633,20,hybrid,1000,216,Oman,gamma,1015529.4753447492,1380.0,1014209.7628929703,921,30.018177,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
692,51633,20,hybrid,1000,216,Gambia,delta,1000639.6419275189,1000.0,999519.8018160702,376,22.239124,0.016,2.2,0.0352,1.0,7.228999999999999
693,51633,20,hybrid,1000,216,Gambia,alpha,982406.28030256,1160.0,981165.7380276666,845,22.34468,0.016,1.67,0.02672,1.0,7.228999999999999
694,51633,20,hybrid,1000,216,Bangladesh,delta,993394.3531602696,2960.0,990525.6350487154,533,30.183681,0.016,2.2,0.0352,1.0,3.4690000000000003
695,51633,20,hybrid,1000,216,Gambia,gamma,1000152.8846977476,960.0,998972.9418691596,179,22.074528,0.016,2.05,0.032799999999999996,1.0,7.228999999999999
696,51633,20,hybrid,1000,216,Oman,gamma,1015523.6185908896,1440.0,1014064.7305124969,537,30.03107,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
697,51633,20,hybrid,1000,216,Gambia,alpha,982101.5802848724,1060.0,981152.4124122787,168,22.241533,0.016,1.67,0.02672,1.0,7.228999999999999
698,51633,20,hybrid,1000,216,Bangladesh,delta,993129.2881660135,2780.0,990541.477733176,205,30.248884,0.016,2.2,0.0352,1.0,3.4690000000000003
699,51633,20,hybrid,1000,216,Mozambique,beta,784179.3830780702,1140.0,782585.6884379748,502,22.303242,0.016,1.0,0.016,1.0,3.3659999999999997
700,51633,20,hybrid,1000,216,Mozambique,beta,785143.3328784864,1127.43008370688,783901.3691932911,959,22.290672,0.016,1.0,0.016,1.0,3.3659999999999997
701,51633,20,hybrid,1000,216,Oman,gamma,1015711.3262838032,1460.0,1014255.9035111842,221,30.002481,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
702,51633,20,hybrid,1000,216,Oman,gamma,1014888.6083298258,1620.0,1013375.218968906,758,29.867708,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
703,51633,20,hybrid,1000,216,Oman,gamma,1014319.4049471996,1340.0,1012930.9833272509,681,29.961401,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
