,control,treatment,intensity,ate,ci_low,ci_high
77,6,7,8,-0.7086655812211688,-17.069946945430814,15.652615782988477
78,7,8,8,-0.6252908698337762,-17.565333348018214,16.31475160835066
79,8,9,8,-0.5697077289087815,-18.749087451671244,17.60967199385368
80,9,10,8,-0.5307995302613335,-20.495979946318016,19.43438088579535
81,1,2,9,-7.378642492215931,-29.4627601895898,14.705475205157938
82,2,3,9,-2.709658654519558,-22.939924975757606,17.52060766671849
83,3,4,9,-1.5424126950955497,-19.933724348774547,16.848898958583447
84,4,5,9,-1.0755143113258896,-17.974722820937814,15.823694198286034
85,5,6,9,-0.842065119441088,-16.802840553585952,15.118710314703776
86,6,7,9,-0.7086655812211688,-16.425883438085236,15.008552275642899
87,7,8,9,-0.6252908698338047,-16.844793222974374,15.594211483306765
88,8,9,9,-0.5697077289087815,-17.986034056166602,16.84661859834904
89,9,10,9,-0.5307995302613335,-19.71830733123204,18.656708270709373
90,1,2,10,-7.378642492215874,-28.908492866963968,14.15120788253222
91,2,3,10,-2.7096586545196146,-22.32918613514414,16.909868826104912
92,3,4,10,-1.5424126950954928,-19.26530152311119,16.180476132920205
93,4,5,10,-1.0755143113258896,-17.254314186285,15.103285563633221
94,5,6,10,-0.842065119441088,-16.049664005016893,14.365533766134718
95,6,7,10,-0.7086655812212257,-15.67238729850635,14.2550561360639
96,7,8,10,-0.625290869833691,-16.12682189679697,14.876240157129587
97,8,9,10,-0.5697077289088384,-17.329661181871984,16.190245724054307
98,9,10,10,-0.5307995302613335,-19.13419906581737,18.072600005294703
99,1,2,11,-7.378642492215818,-28.21103739755455,13.453752413122913
100,2,3,11,-2.7096586545196715,-21.620809935711463,16.20149262667212
101,3,4,11,-1.5424126950954928,-18.578314574479975,15.49348918428899
102,4,5,11,-1.0755143113258896,-16.619351549555233,14.468322926903454
103,5,6,11,-0.842065119441088,-15.504259980146685,13.820129741264509
104,6,7,11,-0.7086655812212257,-15.252130048314655,13.834798885872203
105,7,8,11,-0.625290869833691,-15.850915487393195,14.600333747725813
106,8,9,11,-0.5697077289088384,-17.1947191980762,16.055303740258523
107,9,10,11,-0.5307995302613335,-19.121187130685996,18.05958807016333
108,1,2,12,-7.378642492215874,-27.816475373158653,13.059190388726904
109,2,3,12,-2.7096586545196146,-21.31156409396158,15.89224678492235
110,3,4,12,-1.5424126950955497,-18.431614755585258,15.346789365394159
111,4,5,12,-1.0755143113258328,-16.68850845259334,14.537479829941674
112,5,6,12,-0.8420651194411448,-15.823699617827174,14.139569378944884
113,6,7,12,-0.7086655812211688,-15.821709691362003,14.404378528919665
