,Unnamed: 0,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage,rest_voltage,max_voltage_gradient,dome_voltage,APD50,APD90
48,48,0.11353550566367446,0.8501668846063966,0.9170454508142254,0.9592682166419476,0.45240757079507576,0.7215389829144355,41.09016431075424,-84.490314921574,293.1168877551919,41.09016431075424,271,348
49,49,0.47571370025568727,0.4243560597126995,0.5226417455082248,0.22672333721021604,0.8264863667543214,0.10669631585878032,46.93431301744919,-84.21436639078871,325.32674811613947,12.355908838946323,280,382
50,50,0.3831993064228658,0.9142830357228502,0.3332030160592507,0.9211058094710479,0.32496196264971033,0.8752172796317664,44.9075973498851,-84.24472041833985,332.53717817478804,13.179027985386648,294,394
51,51,0.355261969198334,0.63107738670388,0.04262309901598509,0.7994202688501464,0.9011273756214253,0.39748938700296255,44.28955634678111,-84.71643656267585,320.4418724989334,12.535006813931783,324,428
52,52,0.06693876891797644,0.6721496215278129,0.3060221598527866,0.11852770285548221,0.8457581026754182,0.5147412503207862,42.41814947677973,-83.16607548439022,283.67622090443945,11.786600928388957,299,416
53,53,0.6085799824103247,0.4542008887360466,0.8128417054039745,0.6603392976184329,0.7396359286316003,0.7580062983773613,47.84356406695909,-84.1226123596487,331.1808126328891,7.165619537440485,222,313
54,54,0.2442702981880715,0.2599070912988221,0.3737202506475721,0.4396166571739549,0.3490355547022324,0.5726621008037754,44.1300854567513,-84.0434964382024,316.46630610997875,44.1300854567513,242,334
55,55,0.619119646383046,0.582656570638678,0.10388149292672966,0.048689231284722356,0.0441757813633397,0.5808252136672671,49.86273417842912,-82.87941019477732,336.8062899188835,13.848903925604898,283,420
56,56,0.8349501460299281,0.3062910355885834,0.6334786974821608,0.07296840883766782,0.3772075123223931,0.15837943846369967,51.04786584917496,-83.83188894496195,369.9631616085976,12.15124643992648,248,354
57,57,0.26256015486149104,0.7895075608016607,0.5570728695406509,0.882083065100054,0.14939915426530415,0.7267585039609284,43.40304425052258,-84.39337927274357,314.39526473686016,13.5409623091036,281,368
58,58,0.746440757335911,0.20675725470451908,0.5753350990883496,0.6852384797119678,0.5946124673124189,0.6298243302250041,48.96563661065797,-84.42160109902552,343.75964036521947,5.954811229190242,212,302
59,59,0.8919977151986954,0.04766640569378217,0.26541702640505827,0.3042704293675469,0.9197246406084535,0.2992070777191481,50.78120290701615,-84.27813665977699,371.4903673686134,6.391997019773298,227,332
60,60,0.6889752459628042,0.18806225788011705,0.15951153775838486,0.2654702852215182,0.8817405675570162,0.37953309332486074,49.2996964764695,-84.00960901349754,354.423488714233,7.724266288210436,248,360
61,61,0.5831653242608855,0.6093303066848078,0.1465552704899773,0.028715646933343015,0.7352544138218177,0.30226032708963535,49.04855456634753,-83.27552470932481,349.465723404792,13.623290886851713,307,446
62,62,0.9656168806411579,0.5404283438667706,0.9968445175861309,0.41001555931225236,0.4592326422404244,0.4182809227135034,51.36423950150712,-84.07315728338608,378.3870753631746,11.60496465691242,236,334
63,63,0.755108279645449,0.8967289135226204,0.6819685157062634,0.849058704329125,0.8315394206929979,0.7644931038531595,48.74672666709253,-84.26882805943625,351.5552607596625,11.596810293264507,269,370
64,64,0.2864036705357432,0.06088375844772536,0.9911311805878759,0.6840254886418349,0.0,0.7061367532272652,44.20193463145108,-84.35098800021431,324.468407258356,3.8928170282060153,184,258
65,65,0.8415891976618807,1.0,0.4598665830178215,0.9847422229029795,0.631751640659577,0.8838483807437499,49.30514720684729,-84.3015027553058,359.2991254789772,12.641047607588392,283,390
66,66,0.006430356710106861,0.4489852421221542,0.713466160317736,0.31952056386415845,0.4011416535488369,0.41005018116374353,40.81055107854725,-83.9417010092194,296.3363820231234,11.241830131029912,262,347
67,67,0.8543449624991404,0.41938141093025383,0.8316810503080735,0.3768497341072208,0.6612684115620531,0.3171773840593302,50.43457696089767,-84.21188916641496,363.8505603957798,10.628216360651686,240,338
68,68,0.02461088363140396,0.8832870734722428,0.8309952583449932,0.42410748785160396,0.3870029920372673,0.16515416757387294,40.68427036970306,-84.26679236789269,287.2359610262893,18.4177481046506,315,401
69,69,0.1407747229536263,0.3265096437528199,0.45339126328022195,0.4541390237730151,0.4692797724303439,0.14024383822226616,42.232277327341535,-84.64261386785856,301.47984365652417,42.232277327341535,282,366
70,70,0.9176958475472335,0.2646851103401584,0.5181520625349794,0.5657352355296964,0.5624323490018128,0.6321562546400431,50.72565257509714,-84.19539024814394,369.1940728105423,6.870771455623792,217,316
71,71,0.4524575383419671,0.08647163014808805,0.3481870790305375,0.4474950066958412,0.1434103169230529,0.04128988697292416,46.15989833821765,-84.8775378343455,340.3800447153264,11.974856374716577,261,347
72,72,0.3111636470247664,0.12741181542959443,0.7843445648146633,0.8917570167877655,0.407305727494847,0.7787454117940341,43.909185322821614,-84.56375696819556,321.30271920912804,3.508029557207563,195,269
73,73,0.844937304512435,0.7839024041551044,0.7307008626241315,0.6497144306222831,0.9885719775781022,0.29000636119652884,49.53520598017968,-84.55998592154737,359.700686674,13.62124767587622,286,386
74,74,0.9747322058047976,0.8595790349429522,0.05124897487877932,0.46921619087065114,0.39844471850005825,0.22201421001788574,51.109939857896094,-84.2205657521102,363.5695987378864,18.989205211183133,350,494
75,75,0.4812326128282071,0.4825499493180069,0.8711360753547831,0.8295292262311158,0.9639312741954018,0.46590556834624636,45.71212831838265,-84.73942063529894,339.2690142424556,9.087654614883537,245,326
76,76,0.6835498460548184,0.02271265510754225,0.8841593354349984,0.7681184482052537,0.5307358536497097,0.8085601440717803,48.31956106533327,-84.37024824914856,343.2168844427034,1.11634595956011,168,250
77,77,0.8051820941034381,0.03332296296087345,0.4903174871867404,0.9872358948075619,0.31975984564733223,0.6635820393458763,48.7260996641641,-84.86012932390746,368.18339731238615,3.9951895469842063,194,276
78,78,0.3582822316323125,0.418105013511369,0.7435571421520835,0.7024200753956367,0.36786872061054365,0.823504248560679,45.06730392364874,-84.12191984224003,328.644109884611,45.06730392364874,223,308
79,79,0.1263005276497206,0.6362140720984386,0.9675981803177465,0.8630293986827701,0.7521146290006148,0.8344344394657849,41.42600748696374,-84.29685321731539,297.4380590477477,8.271854871656458,241,318
80,80,0.5636507180213373,0.8557352027777724,0.27669578823840757,0.7179932954773335,0.5034828659382297,0.536814897722749,47.07112670834544,-84.32842452488643,347.2143919543112,47.07112670834544,312,423
81,81,0.5963837332241302,0.17519331060581977,0.6076934525342672,0.5501002310912502,0.27964984725943154,0.09305866263810773,47.43491247639874,-84.92257210569426,352.80212027047776,11.569950784040415,249,332
82,82,0.6938655942875216,0.3422269404304007,0.25675294986050967,0.6185751733297379,0.7674655075821903,0.48218944065896563,48.478482374998165,-84.46494547216201,346.3613331983383,8.875178118313087,256,357
83,83,0.7987246839363934,0.6941668273752624,0.6605785000465375,0.5052723877444142,0.34123019527968224,0.43234501819985993,49.85092245085882,-84.16564579624693,349.3014231758095,14.24113821545117,271,374
84,84,0.6680843927123998,0.4903723821601304,0.00845328512640785,0.7633982094665528,0.4792515762510446,0.4932887198752226,47.89771372165793,-84.61406721021312,356.3897012092955,11.864346188022024,293,401
85,85,0.7294218567374535,0.45194052783607164,0.5926673810531405,0.8052028447372536,0.5244012682621954,0.6905417123227418,48.58113930483476,-84.44723412073343,353.05614629272003,8.636501397053317,236,327
86,86,0.28399915859844077,0.7100358283994936,0.710514270741587,0.9074616926631515,0.20933236004618075,0.21274684908245015,43.30161364096961,-85.01919455842801,316.2861080259479,17.192479443344606,300,377
87,87,0.0,0.36572230608754136,0.6373376416141334,0.6461400680476422,0.3708295705938164,0.5682938850735496,39.963981405960624,-84.37774202628597,280.22815219721474,39.963981405960624,249,325
88,88,0.9466213512959605,0.625002777858277,0.05984122056790313,0.02420278563887273,0.18392851942779812,0.14588995765429305,52.11691378245298,-83.47252280339724,370.6257576927704,18.358764218366016,326,474
89,89,0.7021203961183535,0.8286942265675472,0.46820223992821297,0.9762825642754475,0.09532519615403137,0.6758489696512312,47.98906074926812,-84.56618794182067,360.5923007833688,47.98906074926812,285,381
90,90,0.34255011586386164,0.3491730117067553,0.251635106840496,0.1610733812921048,0.48185042564155933,0.285078861364482,45.90000128647456,-83.8239262289771,308.6930758137402,11.666206355439334,279,387
91,91,0.15351506813246274,0.8082535480985822,0.5615599084976823,0.3340169693102505,0.30323233870255917,0.619922220593479,43.324376078811966,-83.49182413570549,299.93469682513387,43.324376078811966,288,391
92,92,1.0,0.9016441099853026,0.4013703514386004,0.944154462134753,0.7504289891347896,0.10269915942387753,49.84549909010484,-85.07822914933212,382.57107496123535,18.062162810997997,336,441
93,93,0.5592136493924653,0.4959681346852518,0.9127960735487473,0.2113730137301707,0.863213925121781,0.9616375275823376,48.826519367465856,-82.77451799608608,331.4856396383516,5.569711944165979,204,311
94,94,0.010038484885699618,0.2924477551766495,0.18312591766805716,0.4362133446769392,0.22080931292435643,0.06596156153213383,40.31213808715355,-84.72189360536647,282.0655114286312,14.427104082899852,309,395
95,95,0.39439022094041876,0.38810681060192836,0.06338912148666448,0.5024166628045841,0.8909042311817661,0.8387140925144664,45.98300973468907,-83.75979606107754,310.49888568110083,6.433818644409259,249,358
